fused,gyro,mag
-0.037378,-0.102004,0.060669
-0.039665,-0.102032,-0.15037
-0.037686,-0.10206,0.060669
-0.041176,-0.102088,-0.210859
-0.041727,-0.100724,-0.135501
-0.041225,-0.100752,-0.015283
-0.039214,-0.10078,0.060669
-0.036177,-0.099417,0.045834
-0.038191,-0.099444,-0.135501
-0.036538,-0.099472,0.045834
-0.03614,-0.0995,-0.015283
-0.036494,-0.098137,-0.120632
-0.040162,-0.099556,-0.15037
-0.039536,-0.100975,0.060669
-0.038923,-0.102394,0.060669
-0.042092,-0.102422,-0.19603
-0.044285,-0.10245,-0.15037
-0.047644,-0.102478,-0.210859
-0.046868,-0.103897,0.060669
-0.043678,-0.102533,0.045834
-0.047203,-0.103952,-0.15037
-0.049293,-0.10398,-0.15037
-0.052705,-0.105399,-0.15037
-0.054389,-0.105427,-0.135501
-0.054701,-0.106846,-0.000489
-0.059215,-0.108265,-0.210859
-0.062275,-0.108293,-0.210859
-0.065274,-0.108321,-0.210859
-0.064146,-0.10974,0.060669
-0.063337,-0.111159,0.045834
-0.059863,-0.112578,0.179917
-0.061701,-0.112606,-0.15037
-0.058214,-0.111243,0.045834
-0.057382,-0.111271,-0.015283
-0.056568,-0.111298,-0.015283
-0.053183,-0.109935,0.045834
-0.055154,-0.109963,-0.15037
-0.055748,-0.111382,-0.015283
-0.053602,-0.110018,-0.015283
-0.051047,-0.110046,0.075504
-0.0505,-0.111465,0.045834
-0.048601,-0.111493,0.045834
-0.04674,-0.111521,0.045834
-0.04884,-0.111549,-0.15037
-0.046832,-0.110185,-0.015283
-0.045933,-0.110213,-0.000489
-0.045051,-0.110241,-0.000489
-0.042964,-0.110269,0.060669
-0.041074,-0.108905,-0.015283
-0.043287,-0.108933,-0.15037
-0.042754,-0.108961,-0.015283
-0.042232,-0.108989,-0.015283
-0.044422,-0.109017,-0.15037
-0.047778,-0.109045,-0.210859
-0.051067,-0.109072,-0.210859
-0.049156,-0.1091,0.045834
-0.047284,-0.109128,0.045834
-0.049373,-0.109156,-0.15037
-0.047496,-0.109184,0.045834
-0.046879,-0.109212,-0.015283
-0.05034,-0.110631,-0.15037
-0.054941,-0.11205,-0.210859
-0.058086,-0.112078,-0.210859
-0.055739,-0.112105,0.060669
-0.052371,-0.110742,0.045834
-0.050434,-0.11077,0.045834
-0.049758,-0.110798,-0.015283
-0.048941,-0.112217,0.060669
-0.047072,-0.112245,0.045834
-0.046464,-0.112272,-0.015283
-0.045572,-0.1123,-0.000489
-0.043771,-0.112328,0.045834
-0.043228,-0.112356,-0.015283
-0.045544,-0.113775,-0.089459
-0.044966,-0.113803,-0.015283
-0.04288,-0.113831,0.060669
-0.043694,-0.112467,-0.15037
-0.042857,-0.112495,-0.000489
-0.045948,-0.112523,-0.19603
-0.043843,-0.112551,0.060669
-0.04178,-0.112579,0.060669
-0.040055,-0.112606,0.045834
-0.038364,-0.112634,0.045834
-0.039268,-0.111271,-0.15037
-0.041518,-0.111299,-0.15037
-0.044635,-0.111326,-0.19603
-0.043779,-0.111354,-0.000489
-0.045641,-0.111382,-0.135501
-0.047763,-0.11141,-0.15037
-0.044555,-0.110046,0.045834
-0.042907,-0.111466,0.107387
-0.041159,-0.111493,0.045834
-0.039447,-0.111521,0.045834
-0.036702,-0.110158,0.030998
-0.039002,-0.110186,-0.15037
-0.040959,-0.110213,-0.135501
-0.039251,-0.110241,0.045834
-0.04271,-0.110269,-0.210859
-0.0461,-0.110297,-0.210859
-0.045511,-0.110325,-0.015283
-0.043415,-0.110352,0.060669
-0.040294,-0.108989,0.045834
-0.038599,-0.109017,0.045834
-0.03816,-0.109045,-0.015283
-0.036507,-0.109072,0.045834
-0.037473,-0.110492,-0.015283
-0.035834,-0.110519,0.045834
-0.037999,-0.109156,-0.210859
-0.041637,-0.110575,-0.15037
-0.041433,-0.110603,-0.030077
-0.043044,-0.110631,-0.120632
